Datetime,Water Level (m)
2023-08-06 00:00:00,0.33927357
2023-08-06 01:00:00,0.3742967
2023-08-06 02:00:00,0.37998292
2023-08-06 03:00:00,0.37053502
2023-08-06 04:00:00,0.3531656
2023-08-06 05:00:00,0.33337945
2023-08-06 06:00:00,0.31064284
2023-08-06 07:00:00,0.2867685
2023-08-06 08:00:00,0.27931836
2023-08-06 09:00:00,0.32867905
2023-08-06 10:00:00,0.389307
2023-08-06 11:00:00,0.45427668
2023-08-06 12:00:00,0.5143207
2023-08-06 13:00:00,0.5590322
2023-08-06 14:00:00,0.57130104
2023-08-06 15:00:00,0.565596
2023-08-06 16:00:00,0.55115974
2023-08-06 17:00:00,0.53254414
2023-08-06 18:00:00,0.51163465
2023-08-06 19:00:00,0.4886262
2023-08-06 20:00:00,0.46906197
2023-08-06 21:00:00,0.49038798
2023-08-06 22:00:00,0.5436164
2023-08-06 23:00:00,0.6010718
2023-08-07 00:00:00,0.6541545
2023-08-07 01:00:00,0.6996636
2023-08-07 02:00:00,0.7204545
2023-08-07 03:00:00,0.71572584
2023-08-07 04:00:00,0.70140713
2023-08-07 05:00:00,0.6834169
2023-08-07 06:00:00,0.65961814
2023-08-07 07:00:00,0.6364216
2023-08-07 08:00:00,0.6156746
2023-08-07 09:00:00,0.628812
2023-08-07 10:00:00,0.67962545
2023-08-07 11:00:00,0.7353912
2023-08-07 12:00:00,0.78790605
2023-08-07 13:00:00,0.82722574
2023-08-07 14:00:00,0.84757113
2023-08-07 15:00:00,0.8435314
2023-08-07 16:00:00,0.8293564
2023-08-07 17:00:00,0.809729
2023-08-07 18:00:00,0.786811
2023-08-07 19:00:00,0.76335794
2023-08-07 20:00:00,0.7386531
2023-08-07 21:00:00,0.7203716
2023-08-07 22:00:00,0.7401293
2023-08-07 23:00:00,0.7820583
2023-08-08 00:00:00,0.8290404
2023-08-08 01:00:00,0.872833
2023-08-08 02:00:00,0.9065399
2023-08-08 03:00:00,0.915905
2023-08-08 04:00:00,0.9069559
2023-08-08 05:00:00,0.8904418
2023-08-08 06:00:00,0.8709408
2023-08-08 07:00:00,0.8492966
2023-08-08 08:00:00,0.82744265
2023-08-08 09:00:00,0.8121324
2023-08-08 10:00:00,0.83167595
2023-08-08 11:00:00,0.87345886
2023-08-08 12:00:00,0.9183351
2023-08-08 13:00:00,0.95724374
2023-08-08 14:00:00,0.9825235
2023-08-08 15:00:00,0.9841519
2023-08-08 16:00:00,0.97271514
2023-08-08 17:00:00,0.9559413
2023-08-08 18:00:00,0.9356377
2023-08-08 19:00:00,0.91329485
2023-08-08 20:00:00,0.8896797
2023-08-08 21:00:00,0.8669361
2023-08-08 22:00:00,0.85527474
2023-08-08 23:00:00,0.8800761
2023-08-09 00:00:00,0.9181488
2023-08-09 01:00:00,0.9586912
2023-08-09 02:00:00,0.9948945
2023-08-09 03:00:00,1.0194535
2023-08-09 04:00:00,1.022246
2023-08-09 05:00:00,1.0147367
2023-08-09 06:00:00,1.0019406
2023-08-09 07:00:00,0.9859991
2023-08-09 08:00:00,0.9694129
2023-08-09 09:00:00,0.9543009
2023-08-09 10:00:00,0.943842
2023-08-09 11:00:00,0.9582004
2023-08-09 12:00:00,0.9909197
2023-08-09 13:00:00,1.0264097
2023-08-09 14:00:00,1.0541638
2023-08-09 15:00:00,1.0602194
2023-08-09 16:00:00,1.0616682
2023-08-09 17:00:00,1.0511948
2023-08-09 18:00:00,1.0345882
2023-08-09 19:00:00,1.0150262
2023-08-09 20:00:00,0.99419564
2023-08-09 21:00:00,0.97247267
2023-08-09 22:00:00,0.9532849
2023-08-09 23:00:00,0.9450974
2023-08-10 00:00:00,0.962564
2023-08-10 01:00:00,0.99120843
2023-08-10 02:00:00,1.023429
2023-08-10 03:00:00,1.0523179
2023-08-10 04:00:00,1.0707172
2023-08-10 05:00:00,1.0746334
2023-08-10 06:00:00,1.0703521
2023-08-10 07:00:00,1.0603511
2023-08-10 08:00:00,1.0476168
2023-08-10 09:00:00,1.0341911
2023-08-10 10:00:00,1.0228205
2023-08-10 11:00:00,1.0153606
2023-08-10 12:00:00,1.0204482
2023-08-10 13:00:00,1.0413746
2023-08-10 14:00:00,1.0673984
2023-08-10 15:00:00,1.0892234
2023-08-10 16:00:00,1.0999818
2023-08-10 17:00:00,1.0994592
2023-08-10 18:00:00,1.0922415
2023-08-10 19:00:00,1.0798899
2023-08-10 20:00:00,1.0633518
2023-08-10 21:00:00,1.0439553
2023-08-10 22:00:00,1.0252953
2023-08-10 23:00:00,1.0069704
2023-08-11 00:00:00,0.9962383
2023-08-11 01:00:00,1.006578
2023-08-11 02:00:00,1.0318875
2023-08-11 03:00:00,1.0638354
2023-08-11 04:00:00,1.0948524
2023-08-11 05:00:00,1.120615
2023-08-11 06:00:00,1.1338843
2023-08-11 07:00:00,1.1365504
2023-08-11 08:00:00,1.1317651
2023-08-11 09:00:00,1.1238515
2023-08-11 10:00:00,1.1134175
2023-08-11 11:00:00,1.1032972
2023-08-11 12:00:00,1.09509
2023-08-11 13:00:00,1.0917753
2023-08-11 14:00:00,1.1025898
2023-08-11 15:00:00,1.1239599
2023-08-11 16:00:00,1.14708
2023-08-11 17:00:00,1.1645058
2023-08-11 18:00:00,1.172752
2023-08-11 19:00:00,1.1714872
2023-08-11 20:00:00,1.1622612
2023-08-11 21:00:00,1.1484457
2023-08-11 22:00:00,1.1305351
2023-08-11 23:00:00,1.1112896
2023-08-12 00:00:00,1.0930216
